name,price,bid_ts
Chill,466,2023-11-14 20:42:38
Mask,30,2023-11-14 20:43:05
Scott,761,2023-11-14 20:43:05
Chill,741,2023-11-14 20:43:06
Helpart,495,2023-11-14 20:43:19
Scott,485,2023-11-14 20:43:19
Brown,973,2023-11-14 20:43:21
Chill,92,2023-11-14 20:45:14
Happy,92,2023-11-14 20:45:17
Helpart,789,2023-11-14 20:45:18
Happy,151,2023-11-14 20:45:18
Scott,932,2023-11-14 20:45:18
Chill,367,2023-11-14 20:45:19
Mask,274,2023-11-14 20:45:20
Helpart,821,2023-11-14 20:45:21
Pam,393,2023-11-14 20:45:27
Scott,625,2023-11-14 20:46:55
Happy,497,2023-11-14 20:46:56
Mask,798,2023-11-14 20:46:56
Brown,510,2023-11-14 20:46:58
Chill,850,2023-11-14 20:49:48
Mask,201,2023-11-14 20:49:57
Pam,129,2023-11-14 20:50:04
Chill,397,2023-11-14 20:50:27
Scott,411,2023-11-14 20:50:31
Mask,771,2023-11-14 20:50:36
Brown,437,2023-11-14 20:50:44
Pam,67,2023-11-14 20:50:45
Pam,512,2023-11-14 20:50:48
James,688,2023-11-14 20:50:50
Scott,355,2023-11-14 20:50:58
Jj,3158,2023-11-14 20:19:54
Gg,7131,2023-11-14 20:19:56
Jj,9347,2023-11-14 20:19:57
Hh,2772,2023-11-14 20:20:12
Dd,4623,2023-11-14 20:20:13
Ii,2776,2023-11-14 20:20:14
Bb,7580,2023-11-14 20:20:14
Mask,30,2023-11-14 20:43:05
Scott,761,2023-11-14 20:43:05
Chill,741,2023-11-14 20:43:06
Helpart,789,2023-11-14 20:45:18
Happy,151,2023-11-14 20:45:18
Scott,932,2023-11-14 20:45:18
Chill,367,2023-11-14 20:45:19
Mask,274,2023-11-14 20:45:20
Happy,497,2023-11-14 20:46:56
Mask,798,2023-11-14 20:46:56
Brown,510,2023-11-14 20:46:58
Chill,850,2023-11-14 20:49:48
Mask,201,2023-11-14 20:49:57
Pam,129,2023-11-14 20:50:04
Brown,437,2023-11-14 20:50:44
Pam,67,2023-11-14 20:50:45
James,688,2023-11-14 20:50:50
Scott,355,2023-11-14 20:50:58
kav,12345,2023-11-14 17:54:05
Bb,6960,2023-11-14 20:19:55
Dd,9977,2023-11-14 20:19:55
Hh,835,2023-11-14 20:19:56
Ee,342,2023-11-14 20:20:11
Cc,9050,2023-11-14 20:20:14
Hh,6308,2023-11-14 20:20:16
Ii,8096,2023-11-14 20:35:14
Ee,9054,2023-11-14 20:35:14
Jj,624,2023-11-14 20:35:15
Chill,466,2023-11-14 20:42:38
Helpart,495,2023-11-14 20:43:19
Scott,485,2023-11-14 20:43:19
Brown,973,2023-11-14 20:43:21
Chill,92,2023-11-14 20:45:14
Happy,92,2023-11-14 20:45:17
Helpart,821,2023-11-14 20:45:21
Pam,393,2023-11-14 20:45:27
Scott,625,2023-11-14 20:46:55
Chill,397,2023-11-14 20:50:27
Scott,411,2023-11-14 20:50:31
Mask,771,2023-11-14 20:50:36
Pam,512,2023-11-14 20:50:48
kavya,123,2023-11-14 16:01:51
abi,1923456,2023-11-14 16:12:23
hello,123,2023-11-14 16:15:31
qwerty,123435,2023-11-14 16:20:18
Ee,543,2023-11-14 20:19:55
Ii,5989,2023-11-14 20:20:13
Ee,7891,2023-11-14 20:20:13
Jj,3732,2023-11-14 20:20:15
Aa,2671,2023-11-14 20:35:14
Gg,9079,2023-11-14 20:35:14
Scott,797,2023-11-14 20:43:06
Mask,940,2023-11-14 20:43:07
Scott,25,2023-11-14 20:43:19
James,308,2023-11-14 20:43:33
James,175,2023-11-14 20:43:33
James,543,2023-11-14 20:45:23
Helpart,676,2023-11-14 20:45:27
Scott,269,2023-11-14 20:45:27
James,695,2023-11-14 20:46:58
Helpart,22,2023-11-14 20:46:58
Mask,417,2023-11-14 20:49:59
James,609,2023-11-14 20:50:02
James,983,2023-11-14 20:50:16
Scott,838,2023-11-14 20:50:29
Happy,632,2023-11-14 20:50:33
Mask,924,2023-11-14 20:50:40
James,906,2023-11-14 20:50:47
Mask,979,2023-11-14 20:50:51
Happy,981,2023-11-14 20:50:53
James,631,2023-11-14 20:50:54
James,678,2023-11-14 20:50:55
wert,23456,2023-11-14 16:48:38
hav,123456,2023-11-14 19:15:55
Hh,4052,2023-11-14 20:19:55
Cc,4263,2023-11-14 20:19:56
Ff,7187,2023-11-14 20:20:12
Brown,448,2023-11-14 20:43:19
Happy,86,2023-11-14 20:43:21
Pam,285,2023-11-14 20:43:32
James,821,2023-11-14 20:45:21
James,467,2023-11-14 20:45:22
Happy,368,2023-11-14 20:46:52
Scott,301,2023-11-14 20:46:52
Brown,420,2023-11-14 20:46:58
Mask,759,2023-11-14 20:46:58
Helpart,159,2023-11-14 20:50:35
Brown,209,2023-11-14 20:50:56
Kavya,12345779,2023-11-14 16:02:26
Ii,4487,2023-11-14 20:19:57
Ee,4668,2023-11-14 20:20:11
Jj,7,2023-11-14 20:20:13
Bb,6268,2023-11-14 20:20:13
Aa,539,2023-11-14 20:20:14
Jj,551,2023-11-14 20:35:15
Happy,937,2023-11-14 20:42:37
Pam,131,2023-11-14 20:43:06
Mask,304,2023-11-14 20:43:07
Mask,898,2023-11-14 20:43:19
Helpart,555,2023-11-14 20:43:20
Brown,281,2023-11-14 20:43:21
Helpart,77,2023-11-14 20:45:20
Mask,146,2023-11-14 20:45:21
Helpart,688,2023-11-14 20:45:25
Scott,566,2023-11-14 20:46:52
Brown,413,2023-11-14 20:46:52
Brown,981,2023-11-14 20:49:50
Chill,421,2023-11-14 20:50:18
Helpart,871,2023-11-14 20:50:42
abi,1923456,2023-11-14 16:11:11
Ee,3261,2023-11-14 20:19:55
Ee,3493,2023-11-14 20:19:56
Dd,8247,2023-11-14 20:19:56
Jj,6793,2023-11-14 20:20:12
Hh,8409,2023-11-14 20:20:12
Cc,2653,2023-11-14 20:20:15
Ii,4559,2023-11-14 20:20:16
Mask,321,2023-11-14 20:43:06
Scott,859,2023-11-14 20:43:06
Mask,48,2023-11-14 20:43:21
Mask,234,2023-11-14 20:43:33
Happy,556,2023-11-14 20:45:17
Pam,586,2023-11-14 20:45:18
Pam,683,2023-11-14 20:45:19
Happy,737,2023-11-14 20:45:22
Pam,877,2023-11-14 20:45:25
Happy,581,2023-11-14 20:46:52
Mask,538,2023-11-14 20:46:56
Brown,321,2023-11-14 20:50:00
Happy,533,2023-11-14 20:50:38
Pam,44,2023-11-17 10:35:11
Happy,178,2023-11-17 10:35:11
Happy,544,2023-11-17 10:35:11
James,536,2023-11-17 10:35:12
Chill,767,2023-11-17 10:35:12
James,697,2023-11-17 10:35:12
Chill,17,2023-11-17 10:35:12
Chill,110,2023-11-17 10:35:12
Brown,310,2023-11-23 14:43:32
Scott,558,2023-11-23 14:43:32
Happy,356,2023-11-23 14:43:32
James,913,2023-11-23 14:43:33
Scott,575,2023-11-23 14:43:32
Helpart,23,2023-11-23 14:43:33
Brown,663,2023-11-23 14:43:33
Brown,676,2023-11-23 14:43:51
James,802,2023-11-23 14:43:52
Happy,457,2023-11-23 14:43:52
Scott,237,2023-11-23 14:43:52
James,982,2023-11-23 14:43:52
Scott,813,2023-11-23 14:43:52
Mask,834,2023-11-23 14:43:53
Brown,347,2023-11-23 14:43:53
Brown,232,2023-11-23 14:43:53
Mask,838,2023-11-23 14:43:53
Brown,673,2023-11-23 14:43:53
Scott,536,2023-11-23 14:43:54
Happy,541,2023-11-23 14:43:54
Happy,559,2023-11-23 14:43:54
James,658,2023-11-23 14:43:55
Chill,621,2023-11-23 14:44:03
James,662,2023-11-23 14:44:03
Helpart,923,2023-11-23 14:44:04
Brown,551,2023-11-23 14:44:04
Happy,566,2023-11-23 14:44:16
Pam,137,2023-11-23 14:44:16
Pam,893,2023-11-23 14:44:18
Chill,929,2023-11-23 14:44:18
Happy,731,2023-11-23 14:44:18
Chill,5,2023-11-23 14:44:19
James,51,2023-11-23 14:48:15
sharath,10000,2023-11-26 15:01:02
bharath,500,2023-11-26 15:00:39
sharath,10000,2023-11-26 15:01:00
sharath,10000,2023-11-26 15:00:58
James,527,2023-11-26 15:42:14
Mask,736,2023-11-26 15:42:14
Happy,389,2023-11-26 15:42:14
Mask,11,2023-11-26 15:42:14
Scott,167,2023-11-26 15:42:15
Brown,200,2023-11-26 15:42:15
Happy,749,2023-11-26 15:42:15
Helpart,23,2023-11-26 15:42:14
Chill,261,2023-11-26 15:42:14
Mask,38,2023-11-26 15:42:15
Scott,203,2023-11-26 15:42:15
Chill,504,2023-11-26 15:42:16
Happy,711,2023-11-26 15:42:16
James,168,2023-11-26 15:42:16
Happy,268,2023-11-26 15:42:16
Helpart,401,2023-11-26 15:42:16
Chill,915,2023-11-26 15:42:17
Helpart,913,2023-11-26 15:42:17
Happy,657,2023-11-26 15:42:17
Pam,28,2023-11-26 15:42:17
Helpart,960,2023-11-26 15:42:17
sharath,10000,2023-11-26 15:01:02
Mask,736,2023-11-26 15:42:14
Happy,389,2023-11-26 15:42:14
Mask,11,2023-11-26 15:42:14
Scott,167,2023-11-26 15:42:15
Brown,200,2023-11-26 15:42:15
Happy,749,2023-11-26 15:42:15
James,168,2023-11-26 15:42:16
Helpart,960,2023-11-26 15:42:17
sharath,10000,2023-11-26 15:00:58
James,527,2023-11-26 15:42:14
Happy,268,2023-11-26 15:42:16
Happy,657,2023-11-26 15:42:17
Pam,28,2023-11-26 15:42:17
bharath,500,2023-11-26 15:00:39
sharath,10000,2023-11-26 15:01:00
Helpart,23,2023-11-26 15:42:14
Chill,261,2023-11-26 15:42:14
Mask,38,2023-11-26 15:42:15
Scott,203,2023-11-26 15:42:15
Chill,504,2023-11-26 15:42:16
Happy,711,2023-11-26 15:42:16
Helpart,401,2023-11-26 15:42:16
Chill,915,2023-11-26 15:42:17
Helpart,913,2023-11-26 15:42:17
